('Aaron', 'Jimmie', 'Dr.', 'N', 15545871, 15)
('Buchanan', 'Paula', 'Ms.', 'N', 20327414, 15)
('Buchanan', 'Robert', 'Sir', 'N', 3978297, 16)
('Buchanan', 'Susan', 'Mrs.', 'Y', 5520088, 15)
('Buchanan', None, 'Dr.', 'Y', 17781765, 16)
('Bucher', 'David', 'Mr.', 'N', 3901165, 15)
('Bucher', 'Joshua', 'Mr.', 'N', 5143696, 16)
('Buck', 'Bette', 'Miss', 'N', 8186652, 15)
('Buck', 'Debora', 'Mrs.', 'Y', 1850626, 15)
('Buck', 'Edwin', 'Mr.', 'Y', 22198922, 16)
('Buck', 'Frances', 'Dr.', 'Y', 23726738, 15)
('Buck', 'Laura', 'Mrs.', 'N', 19961349, 16)
('Buck', 'Regina', 'Dr.', 'N', 9114689, 16)
('Buck', 'Ruth', 'Ms.', 'Y', 14012007, 15)
('Buck', 'Shaun', 'Dr.', 'Y', 16121208, 16)
('Buck', 'Shelly', 'Ms.', 'Y', 15036103, 15)
('Buck', 'Sherry', 'Mrs.', 'Y', 21785609, 15)
('Buck', 'Wayne', 'Mr.', 'Y', 8672129, 15)
('Buck', 'William', 'Mr.', 'N', 21764463, 15)
('Buck', None, 'Mr.', None, 23134462, 16)
('Buckingham', 'Judith', 'Dr.', 'N', 17872524, 15)
('Buckingham', 'Nathanial', 'Mr.', 'Y', 23950021, 15)
('Buckingham', 'Patty', 'Ms.', 'Y', 23352202, 15)
('Buckingham', 'Robyn', 'Miss', 'Y', 23930873, 15)
('Buckley', 'Anna', 'Mrs.', 'N', 18633101, 16)
('Buckley', 'Charles', 'Mr.', 'N', 8787878, 16)
('Buckley', 'George', 'Dr.', 'Y', 11317779, 15)
('Buckley', 'Isabelle', 'Mrs.', 'N', 12113735, 15)
('Buckley', 'Karren', 'Dr.', 'N', 14241509, 15)
('Buckley', 'Lawerence', 'Sir', 'N', 8409152, 16)
('Buckley', 'Lucy', 'Dr.', 'Y', 7572079, 16)
('Buckley', 'Mark', 'Sir', 'N', 10277348, 15)
('Buckley', 'Robert', 'Dr.', 'N', 9711502, 15)
('Buckner', 'Billy', 'Mr.', 'N', 19736333, 15)
('Buckner', 'Cedric', 'Sir', 'N', 17863576, 15)
('Buckner', 'Charles', 'Mr.', 'N', 4758752, 15)
('Buckner', 'Daniel', 'Sir', 'Y', 15964399, 15)
('Buckner', 'Dawn', 'Ms.', 'Y', 9503624, 15)
('Buckner', 'Eloise', 'Mrs.', 'Y', 19769898, 15)
('Buckner', 'John', 'Mr.', 'N', 23702155, 16)
('Buckner', 'Julie', 'Miss', 'N', 7158417, 15)
('Buckner', 'Monroe', 'Mr.', 'Y', 10619233, 15)
('Buckner', 'Verna', 'Dr.', 'Y', 21408319, 16)
('Bueno', 'Abdul', 'Sir', 'Y', 6551037, 15)
('Bueno', 'Christopher', 'Dr.', 'N', 7136319, 15)
('Bueno', 'Linda', 'Mrs.', 'Y', 990596, 15)
('Buffington', 'George', 'Mr.', 'N', 11110586, 15)
('Buffington', 'James', 'Sir', 'N', 21020614, 16)
('Buffington', 'Mark', 'Dr.', 'Y', 9209335, 15)
('Buffington', 'Pamala', 'Miss', 'N', 5287284, 15)
('Buffington', 'Robert', 'Sir', 'Y', 14105324, 16)
('Buffington', 'Robert', 'Sir', 'Y', 15604998, 15)
('Buffington', 'Sue', 'Miss', 'Y', 10269489, 15)
('Buford', 'Charles', 'Mr.', 'Y', 2275473, 15)
('Buford', 'Clinton', 'Dr.', 'Y', 9515702, 15)
('Buford', 'Karl', 'Dr.', 'N', 2225226, 15)
('Bull', 'Bobby', 'Mr.', 'Y', 14412157, 16)
('Bull', 'Emanuel', 'Sir', 'N', 4055694, 16)
('Bullard', 'Adrian', 'Dr.', 'Y', 990431, 16)
('Bullard', 'Colette', 'Miss', 'N', 4192923, 16)
('Bullard', 'Colette', 'Miss', 'N', 14095166, 15)
('Bullard', 'Jason', 'Dr.', 'N', 20949874, 15)
('Bullard', 'Lance', 'Sir', 'N', 18361589, 16)
('Bullard', 'Neil', 'Dr.', 'N', 17240656, 16)
('Bullock', 'Antonio', 'Dr.', 'N', 19355087, 16)
('Bullock', 'Barry', 'Dr.', 'Y', 1401495, 16)
('Bullock', 'Barry', 'Sir', 'Y', 1264049, 16)
('Bullock', 'Desmond', 'Mr.', 'N', 23228424, 15)
('Bullock', 'Douglas', 'Dr.', 'N', 1824117, 15)
('Bullock', 'Georgene', 'Dr.', 'N', 22803873, 15)
('Bullock', 'Gregory', 'Sir', 'Y', 9137427, 15)
('Bullock', 'Jennifer', 'Dr.', 'N', 17373650, 15)
('Bullock', 'Jessica', 'Ms.', 'Y', 18636426, 15)
('Bullock', 'John', 'Dr.', 'N', 11789668, 15)
('Bullock', 'John', 'Dr.', 'N', 22444453, 16)
('Bullock', 'Laura', 'Miss', 'N', 674553, 15)
('Bullock', 'Margaret', 'Miss', 'N', 7244895, 16)
('Bullock', 'Marie', 'Miss', 'N', 1609510, 15)
('Bullock', 'Michelle', 'Dr.', 'N', 4131742, 16)
('Bullock', 'Patrick', 'Dr.', 'N', 8866239, 16)
('Bullock', 'Patrick', 'Mr.', 'N', 19565734, 15)
('Bullock', 'Rosa', 'Dr.', 'Y', 23522271, 15)
('Bullock', 'Ruby', 'Mrs.', 'N', 13012115, 15)
('Bullock', 'William', 'Sir', 'Y', 21706527, 15)
('Bumgarner', 'Joe', 'Sir', 'N', 22497796, 15)
('Bunch', 'Clare', 'Dr.', 'Y', 16646424, 15)
('Bunch', 'Daniel', 'Mr.', 'N', 5361310, 15)
('Bunch', 'Israel', 'Mr.', 'Y', 19850553, 16)
('Bunch', 'Judith', 'Miss', 'Y', 16073719, 15)
('Bunch', 'Liz', 'Ms.', 'N', 9819457, 15)
('Bunch', 'Rodney', None, 'N', 19191264, 15)
('Bundy', 'Avis', 'Miss', 'N', 2604935, 15)
('Bundy', 'Benjamin', 'Mr.', 'N', 825122, 15)
('Bundy', 'Betty', 'Ms.', 'Y', 15238883, 15)
('Bundy', 'Paulette', 'Miss', 'N', 23509013, 15)
('Bunker', 'Jenny', 'Dr.', 'N', 16479337, 15)
('Bunker', 'Tammie', 'Mrs.', 'N', 11182346, 15)
('Bunn', 'Charles', 'Dr.', 'Y', 2598020, 15)
('Bunn', 'Christopher', 'Mr.', 'Y', 18421313, 15)
('Bunn', 'Samuel', 'Mr.', 'N', 21793996, 16)
('Bunting', 'Afton', 'Mrs.', 'Y', 2056025, 16)
('Bunting', 'Amy', 'Mrs.', 'N', 4219941, 15)
('Bunting', 'Amy', 'Mrs.', 'N', 16698067, 16)
('Bunting', 'Bobby', 'Dr.', 'Y', 20655515, 15)
('Bunting', 'Carri', 'Mrs.', 'Y', 1257752, 16)
('Burbank', 'Robert', 'Sir', 'Y', 3658664, 15)
('Burch', 'Arthur', 'Miss', 'Y', 3152340, 16)
('Burch', 'Chad', 'Dr.', 'N', 2418143, 16)
('Burch', 'George', 'Sir', 'Y', 14357042, 15)
('Burch', 'James', 'Mr.', 'Y', 17242897, 15)
('Burch', 'Lane', 'Dr.', 'Y', 9025251, 15)
('Burch', 'Mae', 'Ms.', 'N', 13167992, 15)
('Burchett', 'Brett', 'Mr.', 'Y', 16004751, 15)
('Burchett', 'Gladys', 'Ms.', 'Y', 6740133, 15)
('Burchett', 'Zachary', 'Sir', 'N', 8264547, 16)
('Burchfield', 'Alice', 'Mrs.', 'Y', 23588412, 15)
('Burchfield', 'Christopher', 'Sir', 'Y', 21423979, 16)
('Burden', 'Marion', 'Mr.', 'N', 21193298, 16)
('Burden', 'Susan', 'Dr.', 'N', 1493680, 15)
('Burdette', 'Jeannette', 'Mrs.', 'N', 13080060, 16)
('Burdette', 'Rico', 'Mr.', 'N', 6609154, 15)
('Burdette', 'Scott', 'Dr.', 'Y', 17210100, 15)
('Burdick', 'Cindy', 'Miss', 'N', 18172932, 15)
('Burdick', 'David', 'Dr.', 'N', 20401481, 15)
('Burdick', 'Linda', 'Miss', 'N', 7129881, 16)
('Burge', 'Susan', 'Mrs.', 'Y', 7221042, 16)
('Burger', 'June', 'Miss', 'N', 19323912, 15)
('Burger', 'Peter', 'Mr.', 'Y', 9108799, 15)
('Burger', 'Polly', 'Miss', 'N', 3756773, 15)
('Burger', 'Ronald', 'Mr.', 'Y', 14925556, 15)
('Burger', 'Stacy', 'Sir', 'N', 23553825, 15)
('Burgess', 'Arlene', 'Ms.', 'N', 19397996, 15)
('Burgess', 'Bernice', 'Mrs.', 'Y', 2433707, 15)
('Burgess', 'Clarence', 'Dr.', 'Y', 21937545, 16)
('Burgess', 'Ethel', 'Ms.', 'Y', 21368674, 16)
('Burgess', 'Gladys', 'Miss', 'N', 4459325, 16)
('Burgess', 'Hector', 'Dr.', 'Y', 22202731, 15)
('Burgess', 'Jeanna', 'Miss', 'N', 8866473, 15)
('Burgess', 'Jose', 'Mr.', 'N', 15894644, 16)
('Burgess', 'Julie', 'Mrs.', 'N', 8539537, 15)
('Burgess', 'Margaret', 'Miss', 'Y', 6265988, 15)
('Burgess', 'Parker', 'Dr.', 'Y', 6207754, 15)
('Burgess', 'Ralph', 'Dr.', 'N', 17857223, 16)
('Burgess', 'Ralph', 'Sir', 'Y', 1253866, 15)
('Burgess', 'Robert', 'Dr.', 'Y', 9536421, 15)
('Burgess', 'Russell', 'Dr.', 'Y', 11944050, 15)
('Burgess', 'Sharon', 'Ms.', 'Y', 17556992, 15)
('Burgess', 'Silvia', 'Mrs.', 'N', 9361703, 15)
('Burgess', 'Thomas', 'Mr.', 'N', 6512173, 15)
('Burgess', 'Vivian', 'Mrs.', 'N', 7880869, 15)
('Burgess', 'Vivian', 'Mrs.', 'N', 16298873, 16)
('Burgess', 'William', 'Mr.', 'Y', 17435629, 15)
('Burgos', 'Anna', 'Dr.', 'Y', 22961110, 16)
('Burgos', 'Charles', 'Dr.', 'Y', 6176042, 15)
('Burgos', 'Flora', 'Ms.', 'Y', 18210010, 16)
('Burgos', 'Jeanne', 'Dr.', 'Y', 22824077, 15)
('Burgos', 'Judith', 'Mrs.', 'Y', 13470534, 15)
('Burgos', 'Margaret', 'Miss', 'Y', 3990136, 15)
('Burk', 'Carla', 'Mrs.', 'N', 5854901, 15)
('Burk', 'Katherine', 'Mrs.', 'Y', 16078450, 15)
('Burk', 'Linda', 'Dr.', 'Y', 4088081, 15)
('Burk', 'Marvin', 'Mr.', 'Y', 18033264, 15)
('Burk', 'Michelle', 'Miss', 'Y', 8484939, 15)
('Burke', 'Anne', 'Miss', 'Y', 4662747, 15)
('Burke', 'Christopher', 'Dr.', 'Y', 12473746, 16)
('Burke', 'Claudia', 'Mrs.', 'N', 19705064, 15)
('Burke', 'Donna', 'Mrs.', 'Y', 13694534, 15)
('Burke', 'Donna', 'Mrs.', 'Y', 23905165, 15)
('Burke', 'Eileen', 'Mrs.', 'Y', 17330619, 16)
('Burke', 'George', 'Mr.', 'N', 12510431, 16)
('Burke', 'Herbert', 'Dr.', 'N', 11584088, 15)
('Burke', 'Jake', 'Mr.', 'N', 5296568, 15)
('Burke', 'Jeffrey', 'Dr.', 'Y', 5652858, 16)
('Burke', 'Jerry', 'Sir', 'N', 13624532, 16)
('Burke', 'Johanna', 'Mrs.', 'Y', 10585954, 15)
('Burke', 'Jose', 'Sir', 'Y', 8036543, 16)
('Burke', 'Kayla', 'Dr.', 'N', 19940273, 16)
('Burke', 'Kimberly', 'Miss', 'N', 1875319, 15)
('Burke', 'Melissa', 'Miss', 'N', 7186230, 15)
('Burke', 'Minna', 'Mrs.', 'Y', 19917239, 15)
('Burke', 'Rebecca', 'Dr.', 'N', 10126198, 16)
('Burke', 'Richard', 'Mr.', 'N', 22218264, 15)
('Burke', 'Ronald', 'Sir', 'N', 12542277, 15)
('Burke', 'Roosevelt', 'Mr.', 'N', 3606564, 16)
('Burke', 'Thomas', 'Mr.', 'Y', 2422629, 16)
('Burke', 'Vanessa', 'Mrs.', 'Y', 3936724, 15)
('Burke', None, 'Mrs.', None, 23068269, 15)
('Burkett', 'Bradley', 'Sir', 'Y', 4724390, 15)
('Burkett', 'Cleveland', 'Sir', 'Y', 12352038, 15)
('Burkett', 'Debbie', 'Dr.', 'Y', 7869782, 15)
('Burkett', 'Diana', 'Dr.', 'Y', 14781580, 15)
('Burkett', 'Gabrielle', 'Dr.', 'Y', 8941861, 15)
('Burkett', 'Hilda', 'Dr.', 'N', 18169172, 15)
('Burkett', 'Mabel', 'Dr.', 'N', 6377085, 16)
('Burkett', 'Patrick', 'Dr.', 'Y', 5322048, 15)
('Burkett', 'Robert', 'Mr.', 'N', 17155726, 15)
('Burkhart', 'Gene', 'Mr.', 'Y', 23189197, 15)
('Burkhart', 'Ronald', 'Sir', 'Y', 15674686, 15)
('Burkholder', 'Lyle', 'Sir', 'Y', 5185413, 16)
('Burkholder', 'Michelle', 'Mrs.', 'N', 14543528, 15)
('Burks', 'Alysha', 'Ms.', 'Y', 8817173, 15)
('Burks', 'David', 'Mr.', 'Y', 707907, 15)
('Burks', 'Deshawn', 'Sir', 'Y', 6213846, 16)
('Burks', 'Donna', 'Dr.', 'Y', 12420621, 15)
('Burks', 'Emily', 'Mrs.', 'N', 9077625, 16)
('Burks', 'Gloria', 'Miss', 'N', 1860737, 16)
('Burks', 'Jeffrey', 'Mr.', 'N', 10179342, 15)
('Burks', 'Judith', 'Ms.', 'N', 7891936, 16)
('Burks', 'Michael', 'Mr.', 'Y', 5201451, 15)
('Burks', 'Robert', 'Sir', 'Y', 20001884, 15)
('Burks', 'Samuel', 'Dr.', 'Y', 8835502, 15)
('Burks', 'Terry', 'Mr.', 'N', 7951994, 15)
('Burks', 'Wesley', 'Dr.', 'N', 5840742, 15)
('Burleson', 'Delores', 'Miss', 'N', 22301842, 15)
('Burleson', 'Tiffany', 'Miss', 'Y', 2730102, 15)
('Burleson', 'Tonya', 'Dr.', 'N', 12963228, 15)
('Burley', 'Christine', 'Mrs.', 'Y', 10833832, 15)
('Burley', 'James', 'Mr.', 'Y', 6434696, 16)
('Burnett', 'Ashley', 'Mrs.', 'Y', 20360840, 15)
('Burnett', 'Christopher', 'Mr.', 'Y', 11780917, 16)
('Burnett', 'Christopher', 'Sir', 'N', 14092519, 15)
('Burnett', 'Herbert', 'Mr.', 'Y', 11865695, 15)
('Burnett', 'Joseph', 'Dr.', 'Y', 3802058, 16)
('Burnett', 'Juan', 'Dr.', 'Y', 7907804, 15)
('Burnett', 'Maggie', 'Mrs.', 'N', 22302480, 15)
('Burnett', 'Richard', 'Mr.', 'N', 15626243, 16)
('Burnett', 'Robert', 'Mr.', 'N', 10958785, 15)
('Burnette', 'Clifton', 'Dr.', 'N', 23522775, 15)
('Burnette', 'David', 'Dr.', 'N', 571685, 15)
('Burnette', 'Joel', 'Mr.', 'Y', 8249099, 15)
('Burnette', 'Phillip', 'Dr.', 'N', 14852341, 16)
('Burnette', 'Roger', 'Dr.', 'N', 3437450, 16)
('Burnette', 'Thomas', 'Mr.', 'Y', 6513077, 15)
('Burnette', 'Thomas', 'Mr.', 'Y', 12704362, 15)
('Burney', 'Antonia', 'Miss', 'Y', 11623717, 15)
('Burney', 'Donald', 'Sir', 'N', 19616773, 16)
('Burney', 'Elliot', 'Dr.', 'Y', 20826748, 15)
('Burney', 'Robert', 'Sir', 'N', 18814789, 15)
('Burney', 'Theodore', 'Dr.', 'N', 16691402, 16)
('Burnham', 'Benjamin', 'Sir', 'Y', 14192100, 15)
('Burnham', 'Thomas', 'Mr.', 'N', 2473864, 15)
('Burnham', None, 'Sir', None, 2198970, 15)
('Burns', 'Adeline', 'Dr.', 'N', 2368546, 15)
('Burns', 'Angelo', 'Dr.', 'Y', 21294922, 16)
('Burns', 'Brenda', 'Dr.', 'Y', 5422010, 15)
('Burns', 'Carolyn', 'Mrs.', 'N', 4431611, 15)
('Burns', 'Christopher', 'Sir', 'N', 21228373, 15)
('Burns', 'Dale', 'Sir', 'N', 16257044, 15)
('Burns', 'David', 'Dr.', 'Y', 22859284, 16)
('Burns', 'Dominic', 'Dr.', 'Y', 2458239, 15)
('Burns', 'Edna', 'Mrs.', 'N', 1412944, 16)
('Burns', 'Elizabeth', 'Dr.', 'N', 15538554, 15)
('Burns', 'Francisco', 'Sir', 'N', 13050006, 15)
('Burns', 'George', 'Mr.', 'N', 13195561, 15)
('Burns', 'Jason', 'Mr.', 'Y', 6899184, 16)
('Burns', 'Jeffrey', 'Dr.', 'N', 12741138, 15)
('Burns', 'Joann', None, 'Y', 9223215, 15)
('Burns', 'Joseph', 'Mr.', 'N', 18858640, 15)
('Burns', 'Joshua', 'Dr.', 'N', 14567334, 16)
('Burns', 'Kathleen', 'Miss', 'Y', 17946180, 16)
('Burns', 'Larry', 'Dr.', 'Y', 20556893, 15)
('Burns', 'Laura', 'Ms.', 'N', 3845043, 15)
('Burns', 'Laure', 'Mrs.', 'N', 2962613, 15)
('Burns', 'Marie', 'Miss', 'Y', 4543359, 15)
('Burns', 'Marie', 'Mrs.', 'N', 7916616, 15)
('Burns', 'Marsha', 'Dr.', 'Y', 10423283, 15)
('Burns', 'Michael', 'Sir', 'N', 9972376, 15)
('Burns', 'Mohammed', 'Mr.', 'N', 21150922, 15)
('Burns', 'Quinton', 'Dr.', 'N', 717109, 15)
('Burns', 'Raymond', 'Dr.', 'N', 1794265, 15)
('Burns', 'Rowena', 'Ms.', 'Y', 9603198, 16)
('Burns', 'Ruth', 'Mrs.', 'N', 3844767, 15)
('Burns', 'Stephen', 'Mr.', 'Y', 9664289, 15)
('Burns', 'Todd', 'Sir', 'N', 2116003, 15)
('Burns', 'William', 'Dr.', 'Y', 18697411, 15)
('Burnside', 'Amy', 'Ms.', 'Y', 19063996, 16)
('Burnside', 'Cody', 'Mr.', 'N', 10990169, 15)
('Burnside', 'Vera', 'Mrs.', 'N', 17627482, 15)
('Burr', 'Cynthia', 'Ms.', 'N', 18799338, 15)
('Burr', 'Elizabeth', 'Miss', 'N', 4596613, 15)
('Burr', 'Jeffery', 'Mr.', 'Y', 15574634, 15)
('Burr', 'Jeffrey', 'Mr.', 'Y', 4747905, 15)
('Burr', 'Jessica', 'Mrs.', 'N', 4220302, 16)
('Burr', 'Karen', 'Mrs.', 'Y', 3301770, 15)
('Burr', 'Michael', 'Sir', 'N', 17839360, 16)
('Burr', 'Teresa', 'Ms.', 'Y', 20943001, 15)
('Burrell', 'Betty', 'Dr.', 'Y', 9261471, 16)
('Burrell', 'Chris', 'Mr.', 'Y', 23181801, 15)
('Burrell', 'Jennifer', 'Mrs.', 'N', 17767779, 16)
('Burrell', 'John', 'Sir', 'Y', 3157676, 15)
('Burrell', 'Jose', 'Mr.', 'N', 13426353, 15)
('Burrell', 'Juan', 'Dr.', 'Y', 19497973, 15)
('Burrell', 'Laurie', 'Miss', 'Y', 11370892, 16)
('Burrell', 'William', 'Mr.', 'Y', 15277542, 15)
('Burris', 'Raphael', 'Mr.', 'N', 20963612, 15)
('Burris', 'Rebecca', 'Ms.', 'Y', 17712488, 15)
('Burris', 'Rene', 'Dr.', 'N', 9267754, 16)
('Burris', 'Robert', 'Mr.', 'Y', 23106007, 15)
('Burris', 'Roland', 'Sir', 'N', 5627405, 16)
('Burris', 'Steven', 'Dr.', 'N', 11896431, 15)
('Burroughs', 'Ariel', 'Ms.', 'N', 23991933, 15)
('Burroughs', 'Luis', 'Dr.', 'N', 6690708, 15)
('Burroughs', 'Mark', 'Sir', 'N', 20426145, 15)
('Burroughs', 'Michael', 'Sir', 'Y', 20985391, 15)
('Burrow', 'Ann', 'Miss', 'Y', 22424713, 15)
('Burrow', 'Antoine', 'Sir', 'N', 11228608, 15)
('Burrow', 'Joseph', 'Dr.', 'Y', 567933, 15)
('Burrow', 'Michael', 'Dr.', 'Y', 20036903, 16)
('Burrows', 'Alice', 'Miss', 'N', 14048202, 15)
('Burrows', 'Barry', 'Dr.', 'Y', 4955304, 16)
('Burrows', 'Harriett', 'Dr.', 'N', 20399864, 16)
('Burrows', 'Kimberly', 'Mrs.', 'N', 19973052, 15)
('Burrows', 'Natasha', 'Dr.', 'N', 21622350, 15)
('Burrows', 'Tanya', 'Miss', 'N', 1867837, 15)
('Burrows', 'Wayne', 'Dr.', 'N', 16213473, 15)
('Burt', 'August', 'Dr.', 'N', 14593174, 15)
('Burt', 'Christin', 'Ms.', 'Y', 9210416, 15)
('Burt', 'Edward', 'Dr.', 'Y', 233695, 15)
('Burt', 'Rebecca', 'Miss', 'N', 21355961, 15)
('Burton', 'Adrian', 'Ms.', 'Y', 2068149, 15)
('Burton', 'Amber', 'Ms.', 'N', 2191232, 15)
('Burton', 'Anthony', 'Miss', 'Y', 12237632, 15)
('Burton', 'Betty', 'Dr.', 'N', 21475594, 16)
('Burton', 'Carrie', 'Miss', 'Y', 11366026, 15)
('Burton', 'Charles', 'Dr.', 'N', 8829316, 15)
('Burton', 'Fred', 'Mr.', 'N', 19729500, 16)
('Burton', 'Henry', 'Mr.', 'N', 19321521, 16)
('Burton', 'James', 'Dr.', 'N', 17709828, 15)
('Burton', 'Janet', 'Dr.', 'N', 17432813, 15)
('Burton', 'Johnathon', 'Sir', 'N', 3725910, 15)
('Burton', 'Joseph', 'Mr.', 'Y', 3035091, 15)
('Burton', 'Kristin', 'Dr.', 'N', 13595298, 15)
('Burton', 'Lucille', 'Ms.', 'N', 23153619, 16)
('Burton', 'Matthew', 'Sir', 'N', 14637161, 15)
('Burton', 'Megan', 'Ms.', 'Y', 11135801, 15)
('Burton', 'Nina', 'Dr.', 'Y', 23705449, 15)
('Burton', 'Richard', 'Sir', 'Y', 15772851, 16)
('Burton', 'Scott', 'Dr.', 'Y', 13402418, 15)
('Burton', 'Tammy', 'Mrs.', 'N', 20402973, 16)
('Burton', 'Thomas', 'Sir', 'N', 23015537, 15)
('Burton', 'Vicente', 'Mr.', 'Y', 13394976, 15)
('Burton', 'Woodrow', 'Sir', 'N', 23458447, 15)
('Burton', 'Zachary', 'Sir', 'Y', 23224823, 15)
('Burton', None, 'Mr.', 'N', 19180666, 16)
('Busby', 'Bonita', 'Dr.', 'Y', 10528396, 15)
('Busby', 'Erica', 'Dr.', 'N', 14661226, 16)
('Busby', 'Kevin', 'Sir', 'N', 18638607, 15)
('Busby', 'Margaret', 'Ms.', 'Y', 2016190, 15)
('Busby', 'Mario', 'Sir', 'N', 23050572, 16)
('Busby', 'Ricky', 'Mr.', 'N', 6493235, 16)
('Busby', 'Ross', 'Dr.', 'N', 5480541, 15)
('Busby', 'Susan', 'Dr.', 'N', 387449, 15)
('Busby', 'Tyler', 'Mr.', 'Y', 682952, 15)
('Busch', 'Alicia', 'Mrs.', 'Y', 2413465, 15)
('Busch', 'Blanche', 'Ms.', 'Y', 9888364, 16)
('Busch', 'Demetrius', 'Dr.', 'Y', 12807448, 16)
('Busch', 'John', 'Dr.', 'N', 922294, 15)
('Busch', 'Lawrence', 'Sir', 'N', 1573224, 16)
('Bush', 'Anh', 'Mrs.', 'N', 20643215, 16)
('Bush', 'Brenda', 'Dr.', 'Y', 6894172, 15)
('Bush', 'Charles', 'Sir', 'Y', 7082749, 15)
('Bush', 'Chelsea', 'Miss', 'Y', 21202445, 16)
('Bush', 'Chris', 'Dr.', 'Y', 18944026, 15)
('Bush', 'Crystal', 'Dr.', 'N', 20803764, 16)
('Bush', 'George', 'Mr.', 'Y', 14754713, 15)
('Bush', 'Geraldine', 'Mrs.', 'N', 21583606, 15)
('Bush', 'Jeremy', 'Dr.', 'Y', 509359, 15)
('Bush', 'John', 'Dr.', 'N', 8026074, 15)
('Bush', 'Lenore', 'Ms.', 'N', 6526166, 15)
('Bush', 'Leona', 'Mrs.', 'N', 4281010, 15)
('Bush', 'Lisa', 'Ms.', 'N', 8431577, 15)
('Bush', 'Matthew', 'Sir', 'Y', 11834931, 15)
('Bush', 'Michelle', 'Dr.', 'N', 2910315, 15)
('Bush', 'Richard', 'Dr.', 'Y', 20952346, 16)
('Bush', 'Russell', 'Dr.', 'N', 15154142, 15)
('Bush', 'Scott', 'Sir', 'N', 15849514, 15)
('Bush', 'Sergio', 'Mr.', 'Y', 5798390, 16)
('Bush', 'Shelia', 'Mrs.', 'Y', 3761351, 16)
('Buss', 'Joseph', 'Mr.', 'Y', 14704342, 15)
('Buss', 'Josephine', 'Ms.', 'N', 23789606, 15)
('Buss', 'Lillian', None, None, 21027631, 16)
('Bussey', 'Tom', 'Mr.', 'Y', 21524899, 16)
('Bustamante', 'Corey', 'Dr.', 'N', 23969338, 15)
('Bustamante', 'Fred', 'Dr.', 'N', 14303723, 15)
('Bustamante', 'Isidra', 'Mrs.', 'N', 78379, 15)
('Bustamante', 'Susan', 'Ms.', 'N', 20093778, 15)
('Butcher', 'Barbara', 'Dr.', 'Y', 13100377, 16)
('Butcher', 'Nathaniel', 'Dr.', 'Y', 23588097, 15)
('Butler', 'Alma', 'Miss', 'N', 14352505, 15)
('Butler', 'Amanda', 'Miss', 'Y', 4668834, 15)
('Butler', 'Angie', 'Dr.', 'N', 517215, 16)
('Butler', 'Anthony', 'Ms.', 'N', 21732689, 15)
('Butler', 'April', 'Dr.', 'Y', 14060008, 16)
('Butler', 'Beatrice', 'Ms.', 'N', 5614759, 16)
('Butler', 'Bradley', 'Dr.', 'N', 2198054, 16)
('Butler', 'Charles', 'Mr.', 'N', 15758805, 15)
('Butler', 'Craig', 'Dr.', 'Y', 22550438, 15)
('Butler', 'Curtis', 'Mr.', 'N', 18887485, 15)
('Butler', 'Deborah', 'Miss', 'N', 10997030, 15)
('Butler', 'Derek', 'Dr.', 'N', 17773251, 16)
('Butler', 'Dolores', 'Mrs.', 'N', 13272986, 15)
('Butler', 'Elia', 'Ms.', 'Y', 12529530, 15)
('Butler', 'Ellen', 'Dr.', 'Y', 16187116, 16)
('Butler', 'Emily', 'Miss', 'N', 6418571, 15)
('Butler', 'Eugene', 'Dr.', 'Y', 7075149, 15)
('Butler', 'Eugene', 'Mr.', 'Y', 5626693, 15)
('Butler', 'Fidel', 'Dr.', 'Y', 15668047, 15)
('Butler', 'Frank', 'Dr.', 'Y', 5408458, 15)
('Butler', 'George', 'Mr.', 'Y', 7151156, 16)
('Butler', 'Harvey', 'Sir', 'N', 22470171, 15)
('Butler', 'Hillary', 'Ms.', 'Y', 5403753, 15)
('Butler', 'Jacklyn', 'Mrs.', 'N', 14629548, 15)
('Butler', 'Janel', 'Miss', 'N', 13624172, 15)
('Butler', 'Janet', 'Ms.', 'Y', 20525783, 15)
('Butler', 'Josephina', 'Miss', 'Y', 169074, 15)
('Butler', 'Karen', 'Mrs.', 'N', 19577624, 15)
('Butler', 'Kathryn', 'Ms.', 'Y', 20169302, 15)
('Butler', 'Kelli', 'Mrs.', 'N', 16449120, 15)
('Butler', 'Kelli', 'Mrs.', 'N', 23317695, 15)
('Butler', 'Li', 'Miss', 'N', 1565035, 15)
('Butler', 'Linda', 'Mrs.', 'N', 13122878, 15)
('Butler', 'Lucille', 'Ms.', 'N', 20579795, 15)
('Butler', 'Lucille', 'Ms.', 'N', 23515540, 16)
('Butler', 'Marian', 'Ms.', 'Y', 18144816, 16)
('Butler', 'Mark', 'Sir', 'N', 20792467, 15)
('Butler', 'Meghan', 'Ms.', 'Y', 18621692, 16)
('Butler', 'Michael', 'Dr.', 'N', 7567807, 15)
('Butler', 'Michaela', 'Ms.', 'N', 10668972, 15)
('Butler', 'Myriam', 'Ms.', 'N', 7008678, 15)
('Butler', 'Nicole', 'Mrs.', 'N', 23753856, 15)
('Butler', 'Pamela', 'Dr.', 'Y', 13351360, 16)
('Butler', 'Paul', 'Mr.', 'Y', 9669, 16)
('Butler', 'Paula', 'Ms.', 'Y', 6338647, 16)
('Butler', 'Randy', 'Dr.', 'N', 10422998, 15)
